Genus,Species,GenusSpecies,COMMONNAME,Common,Combined
Abies,alba,Abies alba,Silver fir,"Fir, Silver",Silver fir/Abies alba
Abies,balsamea,Abies balsamea,Balsam fir,"Fir, Balsam",Balsam fir/Abies balsamea
Abies,concolor,Abies concolor,White fir,"Fir, White",White fir/Abies concolor
Abies,fraseri,Abies fraseri,Fraser fir,"Fir, Fraser",Fraser fir/Abies fraseri
Abies,spp.,Abies spp.,Fir species,"Fir, Species",Fir species/Abies spp.
Acer,campestre,Acer campestre,Field maple,"Maple, Field",Field maple/Acer campestre
Acer,freemanii,Acer freemanii,Freeman maple,"Maple, Freeman",Freeman maple/Acer freemanii
Acer,ginnala,Acer ginnala,Amur maple,"Maple, Amur",Amur maple/Acer ginnala
Acer,griseum,Acer griseum,Paperbark maple,"Maple, Paperbark",Paperbark maple/Acer griseum
Acer,miyabei,Acer miyabei,Miyabe maple,"Maple, Miyabe",Miyabe maple/Acer miyabei
Acer,negundo,Acer negundo,Boxelder,Boxelder,Boxelder/Acer negundo
Acer,nigrum,Acer nigrum,Black maple,"Maple, Black",Black maple/Acer nigrum
Acer,palmatum,Acer palmatum,Japanese maple,"Maple, Japanese",Japanese maple/Acer palmatum
Acer,platanoides,Acer platanoides,Norway maple,"Maple, Norway",Norway maple/Acer platanoides
Acer,pseudoplatanus,Acer pseudoplatanus,Sycamore maple,"Maple, Sycamore",Sycamore maple/Acer pseudoplatanus
Acer,rubrum,Acer rubrum,Red maple,"Maple, Red",Red maple/Acer rubrum
Acer,saccharinum,Acer saccharinum,Silver maple,"Maple, Silver",Silver maple/Acer saccharinum
Acer,saccharum,Acer saccharum,Sugar maple,"Maple, Sugar",Sugar maple/Acer saccharum
Acer,spp.,Acer spp.,Maple species,"Maple, Species",Maple species/Acer spp.
Aesculus,carnea,Aesculus carnea,Red horsechestnut,"Horsechestnut, Red",Red horsechestnut/Aesculus carnea
Aesculus,flava,Aesculus flava,Yellow buckeye,"Buckeye, Yellow",Yellow buckeye/Aesculus flava
Aesculus,glabra,Aesculus glabra,Ohio buckeye,"Buckeye, Ohio",Ohio buckeye/Aesculus glabra
Aesculus,hippocastanum,Aesculus hippocastanum,Horsechestnut,Horsechestnut,Horsechestnut/Aesculus hippocastanum
Aesculus,spp.,Aesculus spp.,Buckeye species,"Buckeye, Species",Buckeye species/Aesculus spp.
Ailanthus,altissima,Ailanthus altissima,Tree of heaven,Tree of Heaven,Tree of heaven/Ailanthus altissima
Alnus,cordata,Alnus cordata,Italian alder,"Alder, Italian",Italian alder/Alnus cordata
Alnus,glutinosa,Alnus glutinosa,Black alder,"Alder, Black",Black alder/Alnus glutinosa
Alnus,hirsuta,Alnus hirsuta,Grey alder,"Alder, Grey",Grey alder/Alnus hirsuta
Alnus,incana,Alnus incana,Speckled alder,"Alder, Speckled",Speckled alder/Alnus incana
Alnus,spp.,Alnus spp.,Alder species,"Alder, Species",Alder species/Alnus spp.
Amelanchier,arborea,Amelanchier arborea,Downy serviceberry,"Serviceberry, Downy",Downy serviceberry/Amelanchier arborea
Amelanchier,canadensis,Amelanchier canadensis,Canadian serviceberry,"Serviceberry, Canadian",Canadian serviceberry/Amelanchier canadensis
Amelanchier,grandiflora,Amelanchier grandiflora,Apple serviceberry,"Serviceberry, Apple",Apple serviceberry/Amelanchier grandiflora
Amelanchier,laevis,Amelanchier laevis,Alleghaney serviceberry,"Serviceberry, Alleghaney",Alleghaney serviceberry/Amelanchier laevis
Amelanchier,spp.,Amelanchier spp.,Serviceberry species,"Serviceberry, Species",Serviceberry species/Amelanchier spp.
Aralia,spinosa,Aralia spinosa,Devil's walking stick,Devil's walking stick,Devil's walking stick/Aralia spinosa
Asimina,triloba,Asimina triloba,Pawpaw,Pawpaw,Pawpaw/Asimina triloba
Berberis,spp.,Berberis spp.,Barberry species,Barberry,Barberry species/Berberis spp.
Betula,alleghaniensis,Betula alleghaniensis,Yellow birch,"Birch, Yellow",Yellow birch/Betula alleghaniensis
Betula,lenta,Betula lenta,Sweet birch,"Birch, Sweet",Sweet birch/Betula lenta
Betula,nigra,Betula nigra,River birch,"Birch, River",River birch/Betula nigra
Betula,papyrifera,Betula papyrifera,Paper birch,"Birch, Paper",Paper birch/Betula papyrifera
Betula,pendula,Betula pendula,Silver birch,"Birch, Silver",Silver birch/Betula pendula
Betula,populifolia,Betula populifolia,Gray birch,"Birch, Gray",Gray birch/Betula populifolia
Betula,spp.,Betula spp.,Birch species,"Birch, Species",Birch species/Betula spp.
Carpinus,betulus,Carpinus betulus,European hornbeam,"Hornbeam, European",European hornbeam/Carpinus betulus
Carpinus,caroliniana,Carpinus caroliniana,American hornbeam,"Hornbeam, American",American hornbeam/Carpinus caroliniana
Carpinus,spp.,Carpinus spp.,Hornbeam species,"Hornbeam, Species",Hornbeam species/Carpinus spp.
Carya,cordiformis,Carya cordiformis,Bitternut hickory,"Hickory, Bitternut",Bitternut hickory/Carya cordiformis
Carya,glabra,Carya glabra,Pignut hickory,"Hickory, Pignut",Pignut hickory/Carya glabra
Carya,illinoinensis,Carya illinoinensis,Pecan,Pecan,Pecan/Carya illinoinensis
Carya,laciniosa,Carya laciniosa,Shellbark hickory,"Hickory, Shellbark",Shellbark hickory/Carya laciniosa
Carya,ovata,Carya ovata,Shagbark hickory,"Hickory, Shagbark",Shagbark hickory/Carya ovata
Carya,spp.,Carya spp.,Hickory species,"Hickory, Species",Hickory species/Carya spp.
Carya,tomentosa,Carya tomentosa,Mockernut hickory,"Hickory, Mockernut",Mockernut hickory/Carya tomentosa
Castanea,dentata,Castanea dentata,American chestnut,"Chestnut, American",American chestnut/Castanea dentata
Castanea,mollissima,Castanea mollissima,Chinese chestnut,"Chestnut, Chinese",Chinese chestnut/Castanea mollissima
